time,lat,lon,alt_ft,airspeed_kt,heading_deg,pitch_deg,roll_deg,vsi_fps,pred,p_prob,choice_kind,choice_id,choice_heading,choice_alt,choice_score,cmds
2025-10-19 12:29:18,39.872432,-104.713098,-1.0,9.1,149.7,-26.45,178.68,0.00,FuelLeak,0.52,vision,north_field,,,15.900000000000006,hdg=0.0;alt=200.0;thr=0.0
2025-10-19 12:29:45,0.000000,1.000000,200.0,1.0,0.0,39.87,-104.71,-1.02,EngineFailure,0.71,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-19 12:29:57,9.138876,149.393448,-26.3,178.8,-0.0,90.00,1.00,200.00,FuelLeak,0.76,vision,west_field,,,15.900000000000006,hdg=270.0;alt=200.0;thr=0.0
2025-10-19 12:30:11,1.000000,0.000000,39.9,-104.7,-1.0,9.14,149.29,-26.21,FuelLeak,0.78,vision,east_field,,,5.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-19 12:30:23,178.735326,0.001348,270.0,1.0,200.0,1.00,0.00,39.87,FuelLeak,0.60,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-19 12:30:38,-104.713099,-1.011627,9.1,149.2,-26.2,178.62,-0.00,90.00,FuelLeak,0.73,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-19 12:30:49,1.000000,200.000000,1.0,0.0,39.9,-104.71,-0.99,9.14,FuelLeak,0.59,vision,west_field,,,40.900000000000006,hdg=270.0;alt=200.0;thr=0.0
2025-10-19 12:31:02,149.088443,-26.228410,178.6,-0.0,90.0,1.00,200.00,1.00,FuelLeak,0.69,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-19 12:31:15,0.000000,39.872433,-104.7,-1.0,9.1,148.93,-26.31,178.69,FuelLeak,0.64,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-19 12:31:26,-0.002284,89.980656,1.0,200.0,1.0,0.00,39.87,-104.71,FuelLeak,0.72,vision,north_field,,,15.900000000000006,hdg=0.0;alt=200.0;thr=0.0
2025-10-19 12:31:38,-0.997722,9.138735,148.8,-26.3,178.8,-0.00,270.00,1.00,FuelLeak,0.66,vision,east_field,,,0,hdg=90.0;alt=200.0;thr=0.0
2025-10-19 12:31:52,200.000000,1.000000,0.0,39.9,-104.7,-0.99,9.14,148.59,FuelLeak,0.69,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-19 12:32:04,-26.272607,178.933330,0.0,90.0,1.0,200.00,1.00,0.00,FuelLeak,0.73,vision,west_field,,,15.900000000000006,hdg=270.0;alt=200.0;thr=0.0
