time,lat,lon,alt_ft,airspeed_kt,heading_deg,pitch_deg,roll_deg,vsi_fps,pred,f_prob,target_icao,cmd_heading,cmd_alt,cmd_throttle
2025-11-09_22:09:29,39.82435072008339,-104.6620665000371,1778.186686815782,84.95881909507612,11.39742312359651,-3.756135033508492,-8.02513885114248,-4.578642345527811,Normal,0.63,,,,None
2025-11-09_22:09:33,39.82600865734476,-104.6615447705919,1758.881644230728,85.06035654394948,4.540386921901227,-3.741231616790266,-8.016038904775586,-4.500005051561051,Normal,0.63,,,,None
2025-11-09_22:09:37,39.82769586871586,-104.6612795271782,1740.056523853906,85.09008162636081,357.5779577981685,-3.674261468132938,-8.004679504900816,-4.324640555486976,Normal,0.835,,,,None
2025-11-09_22:09:42,39.82938668346513,-104.661277070306,1721.851748952288,85.04009966964469,350.7016904316622,-3.629412250706666,-8.007474679447183,-4.2389822185694,Normal,0.835,,,,None
2025-11-09_22:09:46,39.83104211343752,-104.6615357502911,1704.200090685267,84.97789067857197,343.7636233120252,-3.640329599500308,-8.023321769620726,-4.292866782703785,Normal,0.835,,,,None
2025-11-09_22:09:50,39.83255776758867,-104.6620394505557,1684.634594380174,84.97468167671148,334.2361743411067,-3.693300755540461,-8.042121007050913,-4.419108066360649,Normal,0.835,,,,None
2025-11-09_22:09:56,39.83478273668537,-104.6631805496305,1659.741690661378,85.02266423383486,327.0305395535756,-3.700527657934244,-8.04410455867878,-4.414928128905438,Normal,0.835,,,,None
2025-11-09_22:10:00,39.83617333019436,-104.664265360886,1641.653165047955,85.04910579533038,320.0135280600071,-3.674976060439394,-8.04162213892424,-4.341658225692221,Normal,0.835,,,,None
2025-11-09_22:10:04,39.83750047976412,-104.6655992990471,1621.869849587171,85.03640728351151,312.8154744475981,-3.647128496048027,-8.043740845485155,-4.280233432539998,Normal,0.835,,,,None
2025-11-09_22:10:09,39.83852591572646,-104.667005754453,1604.739951987305,85.00917328632138,306.0673096136586,-3.642837250635193,-8.051820184967116,-4.281438811166199,Normal,0.835,,,,None
2025-11-09_22:10:13,39.83950658481702,-104.6686243187336,1586.784079756679,84.99529874864969,299.1024887248869,-3.656734076333609,-8.062168657401362,-4.319263498425954,Normal,0.835,,,,None
2025-11-09_22:10:17,39.84028489750091,-104.670370562122,1568.678235892795,85.00544055367814,292.1408528575437,-3.668853361669811,-8.069278480571025,-4.34278828691456,Normal,0.835,,,,None
2025-11-09_22:10:21,39.84087233356578,-104.6722233734856,1550.409647418145,85.02410972636325,285.143522580825,-3.665827017589983,-8.07236748353536,-4.326424912064168,Normal,0.835,,,,None
2025-11-09_22:10:25,39.84127016251031,-104.6741453765362,1532.281718756328,85.03121510715873,278.1687561670384,-3.651987088726702,-8.07474644231007,-4.289043835530165,Normal,0.835,,,,None
2025-11-09_22:10:29,39.84146530706126,-104.6761125434826,1514.196938616182,85.02309653691499,271.1753014462391,-3.640827356044503,-8.079483954676249,-4.264732504408458,Normal,0.835,,,,None
2025-11-09_22:10:34,39.84145739813515,-104.6781004612585,1496.352473344603,85.01124694694937,264.1752440862938,-3.639730238140943,-8.086723715776136,-4.266021205716873,Normal,0.835,,,,None
2025-11-09_22:10:38,39.84124477219127,-104.6800531821403,1478.396689559422,85.00782703725831,257.1670117668921,-3.644743573301362,-8.094091236533057,-4.278038867653004,Normal,0.835,,,,None
2025-11-09_22:10:42,39.84083483134207,-104.6819506987252,1460.430282833106,85.01378347385351,250.1507698159185,-3.647014269530058,-8.099677101992215,-4.279329369282564,Normal,0.835,,,,None
2025-11-09_22:10:46,39.84022843409456,-104.6837514427431,1442.532178943062,85.02077329594859,243.127919322923,-3.64267611391847,-8.103998441008894,-4.264360709775791,Normal,0.835,,,,None
2025-11-09_22:10:50,39.83944015266731,-104.6854502789524,1424.518168206355,85.02181793095608,236.1274584098384,-3.635161261595585,-8.108229980384355,-4.244373537393325,Normal,0.835,,,,None
2025-11-09_22:10:55,39.83851917790296,-104.6870037956062,1406.727649261093,85.01718384793179,229.0656266520795,-3.630027915384493,-8.113644509543873,-4.232386234419359,Normal,0.835,,,,None
2025-11-09_22:10:59,39.83735531258845,-104.6883523378294,1388.985658687925,85.01264183980697,222.0253982424544,-3.629209539929163,-8.119783574758824,-4.230599842332719,Normal,0.835,,,,None
2025-11-09_22:11:03,39.83609394901772,-104.6895653248993,1371.181483539755,85.01232014153925,214.9644745491459,-3.630060017472401,-8.125694825122721,-4.230947879404661,Normal,0.835,,,,None
2025-11-09_22:11:07,39.83470799024117,-104.6905381497474,1353.412912328052,85.01533977869637,207.9251800454483,-3.629105962489635,-8.130612922935772,-4.225450995825277,Normal,0.835,,,,None
2025-11-09_22:11:11,39.83323004826533,-104.6912711768639,1335.668055967408,85.0179142804763,200.9643484316424,-3.625507373797013,-8.13525879716078,-4.213904018986383,Normal,0.835,,,,None
2025-11-09_22:11:16,39.83166830535916,-104.6917612100732,1317.93606748928,85.01775045990559,193.8162095905809,-3.62122428854097,-8.139849661913361,-4.201858001535913,Normal,0.835,,,,None
2025-11-09_22:11:20,39.83005563317544,-104.6919917464557,1300.323537524468,85.01575254639525,186.732882868237,-3.618379846156256,-8.14481852967558,-4.194108344024838,Normal,0.835,,,,None
2025-11-09_22:11:24,39.82841362214467,-104.6919606433211,1282.70828717783,85.01444733448733,179.6440746254752,-3.617248930838182,-8.150003331003596,-4.190081309401868,Normal,0.835,,,,None
2025-11-09_22:11:28,39.82676407469226,-104.6916619627021,1265.110349056716,85.01505078143934,172.5919176904,-3.616488293132729,-8.154870702831744,-4.186124338996539,Normal,0.835,,,,None
2025-11-09_22:11:33,39.82513234649043,-104.6910975309798,1247.494856679717,85.0167949362506,165.5064588083982,-3.614862599656458,-8.159510773210403,-4.178280582582414,Normal,0.835,,,,None
2025-11-09_22:11:37,39.82332913621253,-104.6901426502783,1227.541968159174,85.01816065460433,157.4028381111677,-3.611768412673477,-8.164090204914128,-4.169780833255054,Normal,0.835,,,,None
2025-11-09_22:11:42,39.82182064860022,-104.6890278025259,1209.960386517394,85.01825197759968,150.335308975892,-3.609229062155014,-8.168309434390126,-4.162036117906993,Normal,0.835,,,,None
2025-11-09_22:11:46,39.82042125388097,-104.6876958181211,1192.480615451944,85.01807068448059,143.3476354870562,-3.607429472001277,-8.172606459516672,-4.156131795369614,Normal,0.835,,,,None
2025-11-09_22:11:50,39.81913789326489,-104.6861569004233,1175.059828278033,85.0183270285707,136.1014636724111,-3.606204221239714,-8.176845046041997,-4.151511399898753,Normal,0.835,,,,None
2025-11-09_22:11:54,39.8179976053177,-104.684386363737,1157.554944439605,85.01947466893095,128.9914473909128,-3.604942952903603,-8.180831133657538,-4.146493026932811,Normal,0.835,,,,None
